size,is_compressed,entropy,output_size
1024,false,LOW,1026
1024,true,LOW,797
1024,false,MIDDLE,1026
1024,true,MIDDLE,802
1024,false,HIGH,1026
1024,true,HIGH,1029
2048,false,LOW,2050
2048,true,LOW,1553
2048,false,MIDDLE,2050
2048,true,MIDDLE,1385
2048,false,HIGH,2050
2048,true,HIGH,2057
4096,false,LOW,4098
4096,true,LOW,1552
4096,false,MIDDLE,4098
4096,true,MIDDLE,2290
4096,false,HIGH,4098
4096,true,HIGH,4114
8192,false,LOW,8194
8192,true,LOW,1566
8192,false,MIDDLE,8194
8192,true,MIDDLE,3934
8192,false,HIGH,8194
8192,true,HIGH,8226
16384,false,LOW,16387
16384,true,LOW,1593
16384,false,MIDDLE,16387
16384,true,MIDDLE,6796
16384,false,HIGH,16387
16384,true,HIGH,16450
24576,false,LOW,24579
24576,true,LOW,1625
24576,false,MIDDLE,24579
24576,true,MIDDLE,9587
24576,false,HIGH,24579
24576,true,HIGH,24674
32768,false,LOW,32771
32768,true,LOW,1657
32768,false,MIDDLE,32771
32768,true,MIDDLE,12340
32768,false,HIGH,32771
32768,true,HIGH,32898
40960,false,LOW,40963
40960,true,LOW,1689
40960,false,MIDDLE,40963
40960,true,MIDDLE,14930
40960,false,HIGH,40963
40960,true,HIGH,41122
49152,false,LOW,49155
49152,true,LOW,1725
49152,false,MIDDLE,49155
49152,true,MIDDLE,17702
49152,false,HIGH,49155
49152,true,HIGH,49346
57344,false,LOW,57347
57344,true,LOW,1757
57344,false,MIDDLE,57347
57344,true,MIDDLE,20533
57344,false,HIGH,57347
57344,true,HIGH,57570
65536,false,LOW,65539
65536,true,LOW,1830
65536,false,MIDDLE,65539
65536,true,MIDDLE,20414
65536,false,HIGH,65539
65536,true,HIGH,65794
